week,week_starting,vaccine_type,allocated_doses,pharmacyID
Week 4,1/4/21,Moderna,100,1
Week 13,3/8/21,Johnson,300,2
Week 3,12/28/20,Moderna,100,2
Week 13,3/8/21,Johnson,100,3
Week 2,12/21/20,Moderna,200,3
Week 13,3/8/21,Johnson,100,4
Week 13,3/8/21,Johnson,100,5
Week 13,3/8/21,Johnson,100,6
Week 13,3/8/21,Johnson,100,7
Week 4,1/4/21,Moderna,100,7
Week 13,3/8/21,Johnson,300,8
Week 13,3/8/21,Moderna,2000,9
Week 12,3/1/21,Moderna,2000,9
Week 11,2/22/21,Moderna,2000,9
Week 10,2/15/21,Moderna,1000,9
Week 9,2/8/21,Moderna,1000,9
Week 8,2/1/21,Moderna,1000,9
Week 7,1/25/21,Moderna,1000,9
Week 6,1/18/21,Moderna,1000,9
Week 5,1/11/21,Moderna,100,9
Week 13,3/8/21,Moderna,100,10
Week 13,3/8/21,Johnson,100,11
Week 2,12/21/20,Moderna,400,12
Week 5,1/11/21,Moderna,100,13
Week 13,3/8/21,Johnson,100,14
Week 13,3/8/21,Johnson,400,15
Week 2,12/21/20,Moderna,500,16
Week 13,3/8/21,Johnson,100,17
Week 13,3/8/21,Johnson,100,18
Week 8,2/1/21,Moderna,100,18
Week 13,3/8/21,Moderna,100,19
Week 8,2/1/21,Moderna,100,19
Week 13,3/8/21,Johnson,100,20
Week 10,2/15/21,Moderna,100,20
Week 5,1/11/21,Moderna,100,20
Week 13,3/8/21,Moderna,100,21
Week 2,12/21/20,Moderna,500,21
Week 11,2/22/21,Moderna,400,22
Week 10,2/15/21,Moderna,400,22
Week 9,2/8/21,Moderna,500,22
Week 8,2/1/21,Moderna,300,22
Week 2,12/21/20,Moderna,100,22
Week 13,3/8/21,Johnson,300,23
Week 5,1/11/21,Moderna,100,23
Week 3,12/28/20,Moderna,500,23
Week 9-Fed,2/8/21,Moderna,100,24
Week 13,3/8/21,Johnson,100,25
Week 2,12/21/20,Moderna,100,25
Week 13,3/8/21,Johnson,100,26
Week 13,3/8/21,Johnson,100,27
Week 2,12/21/20,Moderna,200,28
Week 13,3/8/21,Johnson,100,29
Week 13,3/8/21,Moderna,400,30
Week 11,2/22/21,Moderna,200,30
Week 8,2/1/21,Moderna,300,30
Week 11,2/22/21,Moderna,200,31
Week 11,2/22/21,Moderna,100,32
Week 10,2/15/21,Moderna,100,32
Week 4,1/4/21,Moderna,100,33
Week 8,2/1/21,Moderna,100,34
Week 13,3/8/21,Johnson,100,35
Week 4,1/4/21,Moderna,100,35
Week 13,3/8/21,Johnson,100,36
Week 13,3/8/21,Johnson,100,37
Week 4,1/4/21,Moderna,200,38
Week 13,3/8/21,Moderna,200,39
Week 13,3/8/21,Moderna,100,40
Week 13,3/8/21,Johnson,200,41
Week 4,1/4/21,Moderna,100,41
Week 2,12/21/20,Moderna,100,42
Week 13,3/8/21,Moderna,200,43
Week 12,3/1/21,Moderna,100,43
Week 4,1/4/21,Moderna,100,44
Week 13,3/8/21,Johnson,100,45
Week 4,1/4/21,Moderna,100,46
Week 4,1/4/21,Moderna,100,47
Week 4,1/4/21,Moderna,200,48
Week 4,1/4/21,Moderna,100,49
Week 13,3/8/21,Johnson,100,50
Week 11,2/22/21,Moderna,400,51
Week 10,2/15/21,Moderna,300,51
Week 5,1/11/21,Moderna,100,51
Week 13,3/8/21,Johnson,100,52
Week 2,12/21/20,Moderna,500,52
Week 13,3/8/21,Moderna,100,53
Week 12,3/1/21,Moderna,100,54
Week 13,3/8/21,Johnson,100,55
Week 13,3/8/21,Moderna,4000,56
Week 12,3/1/21,Moderna,4000,56
Week 11,2/22/21,Moderna,3000,56
Week 10,2/15/21,Moderna,2000,56
Week 9,2/8/21,Moderna,2000,56
Week 8,2/1/21,Pfizer,7800,56
Week 7,1/25/21,Moderna,2000,56
Week 6,1/18/21,Moderna,2000,56
Week 4,1/4/21,Moderna,300,56
Week 2,12/21/20,Moderna,200,56
Week 13,3/8/21,Johnson,100,57
Week 13,3/8/21,Moderna,100,58
Week 13,3/8/21,Johnson,100,59
Week 8,2/1/21,Moderna,200,60
Week 4,1/4/21,Moderna,100,61
Week 13,3/8/21,Johnson,100,62
Week 13,3/8/21,Moderna,300,63
Week 13,3/8/21,Johnson,300,64
Week 2,12/21/20,Moderna,400,64
Week 2,12/21/20,Moderna,500,64
Week 13,3/8/21,Johnson,300,65
Week 3,12/28/20,Moderna,200,65
Week 13,3/8/21,Johnson,100,66
Week 3,12/28/20,Moderna,200,66
Week 7,1/25/21,Moderna,100,67
Week 13,3/8/21,Johnson,100,68
Week 2,12/21/20,Moderna,500,68
Week 2,12/21/20,Moderna,100,69
Week 2,12/21/20,Moderna,300,70
Week 5,1/11/21,Moderna,5000,71
Week 2,12/21/20,Moderna,400,72
Week 13,3/8/21,Johnson,100,73
Week 2,12/21/20,Moderna,100,74
Week 12,3/1/21,Moderna,100,75
Week 10,2/15/21,Moderna,100,75
Week 13,3/8/21,Johnson,100,76
Week 13,3/8/21,Johnson,100,77
Week 4,1/4/21,Moderna,100,78
Week 13,3/8/21,Johnson,200,79
Week 4,1/4/21,Moderna,100,79
Week 4,1/4/21,Moderna,100,80
Week 13,3/8/21,Moderna,500,81
Week 9,2/8/21,Moderna,100,81
Week 8,2/1/21,Moderna,200,81
Week 4,1/4/21,Moderna,200,81
Week 2,12/21/20,Moderna,1300,81
Week 13,3/8/21,Johnson,100,82
Week 13,3/8/21,Johnson,200,83
Week 13,3/8/21,Johnson,100,84
Week 6,1/18/21,Moderna,100,84
Week 13,3/8/21,Johnson,100,85
Week 2,12/21/20,Moderna,500,86
Week 13,3/8/21,Johnson,100,87
Week 11,2/22/21,Moderna,100,87
Week 7,1/25/21,Moderna,200,87
Week 13,3/8/21,Johnson,100,88
Week 13,3/8/21,Johnson,100,89
Week 13,3/8/21,Moderna,100,90
Week 10,2/15/21,Moderna,100,90
Week 4,1/4/21,Moderna,100,91
Week 3,12/28/20,Moderna,200,92
Week 13,3/8/21,Moderna,200,93
Week 7,1/25/21,Moderna,100,93
Week 13,3/8/21,Johnson,100,94
Week 10,2/15/21,Moderna,7000,95
Week 9,2/8/21,Moderna,7000,95
Week 8,2/1/21,Moderna,7000,95
Week 7,1/25/21,Moderna,7000,95
Week 6,1/18/21,Moderna,5000,95
Week 4,1/4/21,Moderna,500,95
Week 2,12/21/20,Moderna,3000,95
Week 4,1/4/21,Moderna,100,96
Week 13,3/8/21,Johnson,100,97
Week 4,1/4/21,Moderna,100,97
Week 13,3/8/21,Johnson,100,98
Week 2,12/21/20,Moderna,100,98
Week 13,3/8/21,Johnson,100,99
Week 13,3/8/21,Johnson,100,100
Week 13,3/8/21,Johnson,100,101
Week 5,1/11/21,Moderna,1500,102
Week 3,12/28/20,Moderna,100,103
Week 13,3/8/21,Johnson,100,104
Week 5,1/11/21,Moderna,100,104
Week 5,1/11/21,Moderna,100,105
Week 3,12/28/20,Moderna,100,105
Week 2,12/21/20,Moderna,200,105
Week 4,1/4/21,Moderna,100,106
Week 10,2/15/21,Moderna,100,107
Week 2,12/21/20,Moderna,700,108
Week 2,12/21/20,Moderna,200,109
Week 13,3/8/21,Johnson,100,110
Week 4,1/4/21,Moderna,100,111
Week 4,1/4/21,Moderna,100,112
Week 2,12/21/20,Moderna,1000,113
Week 2,12/21/20,Moderna,2000,114
Week 12,3/1/21,Moderna,300,115
Week 8,2/1/21,Moderna,100,115
Week 13,3/8/21,Moderna,1000,116
Week 12,3/1/21,Moderna,1000,116
Week 11,2/22/21,Moderna,500,116
Week 13,3/8/21,Moderna,200,117
Week 12,3/1/21,Moderna,200,117
Week 11,2/22/21,Moderna,100,117
Week 10,2/15/21,Moderna,100,117
Week 9,2/8/21,Moderna,100,117
Week 6,1/18/21,Moderna,100,117
Week 4,1/4/21,Moderna,100,118
Week 2,12/21/20,Moderna,200,119
Week 13,3/8/21,Moderna,500,120
Week 13,3/8/21,Johnson,100,121
Week 13,3/8/21,Johnson,100,122
Week 4,1/4/21,Moderna,100,122
Week 2,12/21/20,Moderna,100,122
Week 13,3/8/21,Moderna,100,123
Week 12,3/1/21,Pfizer,1170,124
Week 4,1/4/21,Moderna,100,124
Week 2,12/21/20,Moderna,100,124
Week 13,3/8/21,Johnson,100,125
Week 11,2/22/21,Moderna,500,126
Week 2,12/21/20,Moderna,500,126
Week 2,12/21/20,Moderna,500,126
Week 13,3/8/21,Johnson,100,127
Week 2,12/21/20,Moderna,100,127
Week 13,3/8/21,Johnson,100,128
Week 13,3/8/21,Moderna,12000,129
Week 12,3/1/21,Moderna,12000,129
Week 11,2/22/21,Moderna,12000,129
Week 10,2/15/21,Moderna,12000,129
Week 9,2/8/21,Moderna,12000,129
Week 8,2/1/21,Moderna,12000,129
Week 7,1/25/21,Moderna,12000,129
Week 6,1/18/21,Moderna,12000,129
Week 5,1/11/21,Moderna,12000,129
Week 2,12/21/20,Moderna,1000,129
Week 13,3/8/21,Johnson,100,130
Week 13,3/8/21,Johnson,100,131
Week 9,2/8/21,Moderna,500,131
Week 4,1/4/21,Moderna,200,131
Week 2,12/21/20,Moderna,1300,131
Week 2,12/21/20,Moderna,500,132
Week 13,3/8/21,Johnson,100,133
Week 2,12/21/20,Moderna,500,133
Week 13,3/8/21,Johnson,100,134
Week 2,12/21/20,Moderna,500,134
Week 13,3/8/21,Johnson,100,135
Week 2,12/21/20,Moderna,500,135
Week 13,3/8/21,Johnson,200,136
Week 13,3/8/21,Johnson,100,137
Week 13,3/8/21,Johnson,100,138
Week 2,12/21/20,Moderna,300,138
Week 13,3/8/21,Johnson,100,139
Week 13,3/8/21,Johnson,100,140
Week 2,12/21/20,Moderna,500,140
Week 13,3/8/21,Johnson,100,141
Week 2,12/21/20,Moderna,500,141
Week 13,3/8/21,Johnson,300,142
Week 8,2/1/21,Moderna,300,142
Week 2,12/21/20,Moderna,300,142
Week 13,3/8/21,Johnson,100,143
Week 4,1/4/21,Moderna,500,143
Week 2,12/21/20,Moderna,500,143
Week 13,3/8/21,Johnson,100,144
Week 2,12/21/20,Moderna,500,144
Week 13,3/8/21,Johnson,100,145
Week 2,12/21/20,Moderna,500,145
Week 13,3/8/21,Johnson,100,146
Week 4,1/4/21,Moderna,500,146
Week 2,12/21/20,Moderna,500,146
Week 13,3/8/21,Johnson,100,147
Week 2,12/21/20,Moderna,300,147
Week 13,3/8/21,Johnson,100,148
Week 2,12/21/20,Moderna,500,148
Week 13,3/8/21,Johnson,100,149
Week 2,12/21/20,Moderna,300,149
Week 13,3/8/21,Johnson,100,150
Week 13,3/8/21,Johnson,100,151
Week 13,3/8/21,Johnson,300,152
Week 8,2/1/21,Moderna,300,152
Week 2,12/21/20,Moderna,800,152
Week 1,12/14/20,Pfizer,975,153
Week 2,12/21/20,Moderna,100,154
Week 4,1/4/21,Moderna,100,155
Week 9,2/8/21,Moderna,100,156
Week 13,3/8/21,Johnson,100,157
Week 12,3/1/21,Moderna,100,157
Week 11,2/22/21,Moderna,100,157
Week 13,3/8/21,Johnson,100,158
Week 12,3/1/21,Moderna,100,158
Week 13,3/8/21,Johnson,100,159
Week 6,1/18/21,Moderna,100,160
Week 13,3/8/21,Johnson,300,161
Week 2,12/21/20,Moderna,200,161
Week 13,3/8/21,Johnson,1200,162
Week 10,2/15/21,Moderna,100,162
Week 3,12/28/20,Moderna,100,162
Week 13,3/8/21,Johnson,100,163
Week 13,3/8/21,Johnson,100,164
Week 2,12/21/20,Moderna,100,164
Week 13,3/8/21,Johnson,100,165
Week 12,3/1/21,Moderna,100,165
Week 13,3/8/21,Moderna,100,166
Week 3,12/28/20,Moderna,100,167
Week 2,12/21/20,Pfizer,975,167
Week 1,12/14/20,Pfizer,975,167
Week 2,12/21/20,Pfizer,975,168
Week 1,12/14/20,Pfizer,975,168
Week 13,3/8/21,Moderna,300,169
Week 12,3/1/21,Moderna,100,169
Week 13,3/8/21,Johnson,100,170
Week 12,3/1/21,Moderna,100,171
Week 8,2/1/21,Moderna,100,171
Week 6,1/18/21,Moderna,100,171
Week 13,3/8/21,Moderna,100,172
Week 13,3/8/21,Johnson,100,173
Week 11,2/22/21,Moderna,100,173
Week 13,3/8/21,Johnson,100,174
Week 13,3/8/21,Johnson,100,175
Week 4,1/4/21,Moderna,100,175
Week 13,3/8/21,Johnson,100,176
Week 13,3/8/21,Pfizer,3510,177
Week 11,2/22/21,Moderna,800,177
Week 8,2/1/21,Pfizer,3900,177
Week 4,1/4/21,Moderna,1000,177
Week 2,12/21/20,Moderna,3000,177
Week 13,3/8/21,Johnson,100,178
Week 13,3/8/21,Johnson,100,179
Week 13,3/8/21,Johnson,100,179
Week 13,3/8/21,Johnson,100,179
Week 13,3/8/21,Johnson,100,179
Week 13,3/8/21,Johnson,100,179
Week 3,12/28/20,Moderna,100,180
Week 2,12/21/20,Moderna,200,180
Week 4,1/4/21,Moderna,200,181
Week 13,3/8/21,Johnson,200,182
Week 13,3/8/21,Johnson,100,183
Week 1,12/14/20,Pfizer,975,184
Week 3,12/28/20,Moderna,200,185
Week 13,3/8/21,Johnson,2000,186
Week 12,3/1/21,Pfizer,1170,186
Week 1,12/14/20,Pfizer,975,186
Week 13,3/8/21,Johnson,500,187
Week 12,3/1/21,Moderna,200,187
Week 13,3/8/21,Pfizer,11700,188
Week 12,3/1/21,Pfizer,11700,188
Week 11,2/22/21,Pfizer,7020,188
Week 10,2/15/21,Pfizer,3900,188
Week 9,2/8/21,Pfizer,3900,188
Week 8,2/1/21,Pfizer,9750,188
Week 7,1/25/21,Pfizer,3900,188
Week 6,1/18/21,Pfizer,975,188
Week 5,1/11/21,Moderna,1000,188
Week 3,12/28/20,Moderna,100,188
Week 2,12/21/20,Moderna,700,188
Week 13,3/8/21,Johnson,500,189
Week 7,1/25/21,Moderna,100,189
Week 12,3/1/21,Moderna,100,190
Week 3,12/28/20,Moderna,100,190
Week 2,12/21/20,Moderna,400,190
Week 13,3/8/21,Johnson,100,191
Week 11,2/22/21,Moderna,100,191
Week 2,12/21/20,Moderna,900,192
Week 13,3/8/21,Johnson,100,193
Week 13,3/8/21,Johnson,100,194
