1,15RX Pharmacy-2,"11212 State Hwy 151, Plaza-2",San Antonio,BEXAR
2,"23330 Emergency Center, LLC",23330 US 59 North,Kingwood,HARRIS
3,38th Street Pharmacy,711 WEST 38TH STREET C-3,Austin,TRAVIS
4,518 Pharmaceutical Services LLC,4111 FM 1764 RD,Santa Fe,GALVESTON
5,986 Specialty Pharmacy,6205 Coit Rd,Plano,COLLIN
6,A.L.M.S Community Health Center,2100 Virginia Drive,Grand Prairie,DALLAS
7,A&P Pharmacy DBA Roanoke Pharmacy,207 E Byron Nelson Blvd,Roanoke,DENTON
8,A&U Family Medicine,17034 University Blvd,Sugar Land,FORT BEND
9,A+ Life Style Medical Group,815 Hwy 71 W,Bastrop,BASTROP
10,AAARK Group Inc,724 Cypress Creek Pkwy,Houston,HARRIS
11,Abilene Christian University Medical Clinic,849 Coliseum Way,Abilene,TAYLOR
12,Abilene Diagnostic Clinic - Abilene - Antilley,1665 Antilley Road,Abilene,TAYLOR
13,Abilene Regional Medical Center,6250 Hwy 83/84 At Antilley Rd,Abilene,TAYLOR
14,Abilene SSLC,2501 Maple St,Abilene,TAYLOR
15,Absolute Concierge Health Care,390 W Texas Ave,Waskom,HARRISON
16,ABULATORY STRATEGIES PHYSICIAN GROUP,4046 Dowlen Road,Beaumont,JEFFERSON
17,Acacia Medical Mission,1781 E. Ammann Rd.,Bulverde,COMAL
18,Accelhealth Brownwood,3804 Highway 377 S,Brownwood,BROWN
19,Accelhealth De Leon,1100 West Reynosa Ave,De Leon,COMANCHE
20,Accelhealth Stephenville,135 River North Blvd,Stephenville,ERATH
21,Access Health Clinic,6402 Louetta Rd Ste 140,Spring,HARRIS
22,Acres Home Health Center,818 Ringold St,Houston,HARRIS
23,"AD Hospital East, LLC",12950 East Frwy,Houston,HARRIS
24,Adc Pharmacy,6700 West 9th Avenue,Amarillo,RANDALL
25,Adoue Community Health Network,1111 West Adoue,Alvin,BRAZORIA
26,ADVANCED FAMILKY MEDICAL CARE,"4002 WEST PARK BLVD,",Plano,COLLIN
27,Advanced Internal Medicine of The Woodlands,3115 College Park Dr,Conroe,MONTGOMERY
28,Advanced Pain Care,2000 S Mays Street,Round Rock,WILLIAMSON
29,Advanced Urgent Care of Brownsville,1460 N Expressway77/83,Brownsville,CAMERON
30,Advent Health Rollins Brook Hospital,608 North Key Avenue,Lampasas,LAMPASAS
31,AdventHelath Family Medicine Rural Health Clinics,187 PR 4060,Lampasas,LAMPASAS
32,Agrace Pharma,721 W Tarrant Rd,Grand Prairie,DALLAS
33,Ahf Pharmacy,7777 Forest Lane.,Dallas,DALLAS
34,Airline Chldrns Clinic Vecino Hlth Ctr,5808 Airline Dr Houston,Houston,HARRIS
35,AIRLINE DOCTORS FAMILY AND PEDIATRIC CLINICS,5990 airline drive,Houston,HARRIS
36,AJIJO INC dba Luxe Med Compounding,560 WEST MAIN ST,Lewisville,DENTON
37,Alamo Osteopathic Physicians and Surgeons,614 South Business Ste A,New Braunfels,COMAL
38,Albertsons Pharmacy,2200 N Yarbrough,El Paso,EL PASO
39,Albertsons Pharmacy 0135,4415 West 7th,Texarkana,BOWIE
40,Albertsons Pharmacy 0226,100 East Taylor Street,Sherman,GRAYSON
41,Albertsons Pharmacy 0716,200 West Crawford Street,Denison,GRAYSON
42,Albertsons Pharmacy 4133,427 E FM 1382,Cedar Hill,DALLAS
43,Albertsons Pharmacy 4267,6249 Rufe Snow Dr,Fort Worth,TARRANT
44,Albertsons Pharmacy 671,3317 N Midland Dr,Midland,MIDLAND
45,Albertsons Pharmacy 672,1002 Andrews Hwy,Midland,MIDLAND
46,Albertsons Pharmacy 674,4706 N Midkiff Road,Midland,MIDLAND
47,Albertsons Pharmacy 676,2751 N County Rd W,Odessa,ECTOR
48,Albertsons Pharmacy 677,1350 E 8th St,Odessa,ECTOR
49,Albertsons Pharmacy 678,3121 Sunset Dr,San Angelo,TOM GREEN
50,Albrecht's Pharmacy,506 West 5th St.,Clifton,BOSQUE
51,Aldine Health Center,4755 Aldine Mail Route Rd,Houston,HARRIS
52,Aledo Family Medicine,317 FM 1187 North,Aledo,PARKER
53,"Alexander Pharmacy, LTD",123 Leveridge Street,East Bernard,WHARTON
54,"Alivio Health and Wellness, LLC",6136 Bandera Road,San Antonio,BEXAR
55,Allcare Pediatrics-Missouri,5201 Highway 6 Ste 500,Missouri City,FORT BEND
56,Allen Fire Department,310 Century Pkwy,Allen,COLLIN
57,Allen Pharmacy,1612 Scripture St,Denton,DENTON
58,"Allen Pharmacy & Wellness, LLC","945 W. Stacy Rd,",Allen,COLLIN
59,Allergy Rheumatology Immunology Associates of North Texas,5 350 INDE PENDENCE PKWY,Frisco,COLLIN
60,ALLIANCE UNITED HOSPICE CARE INC,811 SOUTH CENTRAL EXPRESSWAY,Richardson,DALLAS
61,Allison Cancer Center,400 Rosalind Grover Pkwy,Midland,MIDLAND
62,Alpha Physicians Of Texas,1220 Coit Rd Ste 105,Plano,COLLIN
63,ALPHINA INC,12946 dairy ashford rd,Sugar Land,FORT BEND
64,Altus Baytown Hospital,14120 FM 2100,Crosby,HARRIS
65,Altus Baytown Hospital - Kingwood,1120 Kingwood Dr,Kingwood,HARRIS
66,Altus Baytown Hospital - Porter,22678 Hwy. 59,Porter,MONTGOMERY
67,Altus Hospice Corpus Christi,4300 S Padre Island Dr,Corpus Christi,NUECES
68,Altus Houston Hospital,7215 Fairmont Pkwy,Pasadena,HARRIS
69,"Alvin R Gebert, MD, PA",6130 W Parker Rd,Plano,COLLIN
70,Amarillo Medical Specialists Llp,1215 S Coulter St Ste 400,Amarillo,POTTER
71,Amarillo Public Health Department,1000 Martin Rd,Amarillo,POTTER
72,"America's ER Site 001, LLC",32784 FM 2978 RD,Magnolia,MONTGOMERY
73,American Renal Associates,3415 South Cooper St.,Arlington,TARRANT
74,Americas ER Site 002 LLC,13902 Spring Cypress Rd,Cypress,HARRIS
75,Americo M Baca PLLC,336 S 8th St,Raymondville,WILLACY
76,Amg Providence Hewitt,729 Sun Valley Blvd.,Hewitt,MCLENNAN
77,Amg Tx Balcones Woods,11149 Research Blvd Ste #210,Austin,TRAVIS
78,Amigos Pharmacy 503,112 North University Avenue,Lubbock,LUBBOCK
79,Amigos Pharmacy 508,2403 N Columbia St,Plainview,HALE
